
=== f32 ===
   l   r  len     gts_1     mrs_1   ratio   gts_ctx   mrs_ctx   ratio
  19  29  551    1606.1    1645.0   0.98x    1634.6    1661.2   0.98x
  19  31  589    1838.7    1783.3   1.03x    1874.0    1800.6   1.04x
  19  32  608    1352.4    1532.3   0.88x    1390.9    1549.5   0.90x
  23  24  552    1237.4    1473.6   0.84x    1269.1    1484.9   0.85x
  23  27  621    2854.4    3137.6   0.91x    2887.3    3152.6   0.92x
  23  29  667    1963.8    2094.2   0.94x    1995.0    2110.9   0.95x
  23  31  713    2242.2    2269.4   0.99x    2290.4    2288.2   1.00x
  23  32  736    1657.9    1973.1   0.84x    1705.0    1991.8   0.86x
  24  29  696    1804.3    1872.7   0.96x    1830.8    1888.5   0.97x
  24  31  744    2076.6    2032.3   1.02x    2121.8    2048.7   1.04x
  27  29  783    3892.4    3970.0   0.98x    3918.2    3994.0   0.98x
  27  31  837    4322.1    4282.2   1.01x    4366.1    4307.3   1.01x
  27  32  864    3724.4    4013.7   0.93x    3773.8    4036.9   0.93x
  29  31  899    2930.3    3105.0   0.94x    2965.9    3123.2   0.95x
  29  32  928    2204.1    2746.8   0.80x    2256.8    2761.9   0.82x
  31  32  992    2398.0    3133.3   0.77x    2464.9    3147.5   0.78x

f32: GoodThomas wins 127/138 standalone (geomean 0.852x), 126/138 in context (geomean 0.862x)
(ratio below 1.00x means GoodThomasSmall is faster)

=== f64 ===
   l   r  len     gts_1     mrs_1   ratio   gts_ctx   mrs_ctx   ratio
   2   7   14      34.0      47.1   0.72x      34.2      47.1   0.72x
   2   9   18      43.1      58.0   0.74x      43.0      58.0   0.74x
   2  11   22      52.9      71.2   0.74x      52.7      71.0   0.74x
   2  13   26      64.0      84.5   0.76x      63.8      84.8   0.75x
   2  17   34      96.5     120.0   0.80x      98.7     123.9   0.80x
   2  19   38     106.2     138.4   0.77x     110.1     142.2   0.77x
   2  23   46     141.3     181.3   0.78x     145.8     186.3   0.78x
   2  27   54     256.1     299.3   0.86x     260.4     301.8   0.86x
   2  29   58     217.7     276.6   0.79x     224.1     282.9   0.79x
   2  31   62     214.2     267.0   0.80x     221.0     273.3   0.81x
   3   5   15      37.6      52.5   0.72x      37.6      52.6   0.71x
   3   7   21      49.3      69.3   0.71x      49.4      69.4   0.71x
   3   8   24      53.9      75.5   0.71x      54.3      75.9   0.72x
   3  11   33      79.4     109.8   0.72x      81.8     110.0   0.74x
   3  13   39      96.7     130.8   0.74x     100.1     131.3   0.76x
   3  16   48     108.4     149.1   0.73x     112.9     151.5   0.75x
   3  17   51     144.5     186.8   0.77x     150.0     191.7   0.78x
   3  19   57     160.6     216.0   0.74x     166.8     221.1   0.75x
   3  23   69     213.5     283.2   0.75x     220.5     288.9   0.76x
   3  29   87     331.2     431.5   0.77x     340.2     438.8   0.78x
   3  31   93     325.3     421.3   0.77x     334.3     428.5   0.78x
   3  32   96     237.2     320.2   0.74x     246.2     325.8   0.76x
   4   5   20      46.6      65.0   0.72x      46.6      64.9   0.72x
   4   7   28      61.8      86.0   0.72x      62.4      86.0   0.73x
   4   9   36      82.2     112.7   0.73x      85.1     113.2   0.75x
   4  11   44     102.1     140.5   0.73x     106.1     141.6   0.75x
   4  13   52     124.5     167.7   0.74x     129.9     169.6   0.77x
   4  17   68     187.3     240.1   0.78x     194.2     245.1   0.79x
   4  19   76     207.9     278.7   0.75x     215.6     283.3   0.76x
